Timestamp,Transaction Type,Asset,Quantity Transacted,Price Currency,Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread,Notes
2023-07-21 12:08:16 UTC,Receive,SOL,0.000077857,USD,25.345,0,0,0,Received 0.000077857 SOL from 
2023-07-21 01:05:27 UTC,Staking Income,ADA,0.076732,USD,0.31385,0.02,0.02,0,
2023-07-20 22:21:05 UTC,Receive,SOL,0.000019825,USD,25.535,0,0,0,Received 0.000019825 SOL from 
2023-07-20 21:52:03 UTC,Receive,SOL,0.000019779,USD,25.575,0,0,0,Received 0.000019779 SOL from 
2023-07-20 02:37:30 UTC,Staking Income,SOL,0.000327111,USD,26.735,0.01,0.01,0,
2023-07-19 22:46:44 UTC,Staking Income,SOL,0.000330472,USD,26.315,0.01,0.01,0,
2023-07-16 17:46:06 UTC,Staking Income,SOL,0.000330339,USD,27.965,0.01,0.01,0,
2023-07-16 00:22:25 UTC,Receive,SOL,0.000077179,USD,27.705,0,0,0,Received 0.000077179 SOL from 
2023-07-15 11:47:42 UTC,Receive,SOL,0.000161153,USD,29.005,0,0,0,Received 0.000161153 SOL from 
2023-07-14 00:58:52 UTC,Staking Income,SOL,0.000329212,USD,29.4,0.01,0.01,0,
2023-07-13 21:44:22 UTC,Staking Income,SOL,0.000330214,USD,25.605,0.01,0.01,0,
2023-07-13 05:30:53 UTC,Receive,SOL,0.000294773,USD,21.605,0.01,0.01,0,Received 0.000294773 SOL from 
2023-07-13 00:56:18 UTC,Receive,SOL,0.000294256,USD,21.76,0.01,0.01,0,Received 0.000294256 SOL from 
2023-07-13 00:05:54 UTC,Receive,SOL,0.00030921,USD,21.895,0.01,0.01,0,Received 0.00030921 SOL from 
2023-07-12 03:22:06 UTC,Receive,SOL,0.000301127,USD,21.935,0.01,0.01,0,Received 0.000301127 SOL from 
2023-07-12 00:04:25 UTC,Receive,SOL,0.000301414,USD,22.06,0.01,0.01,0,Received 0.000301414 SOL from 
2023-07-07 03:39:05 UTC,Staking Income,SOL,0.000331282,USD,20.17,0.01,0.01,0,
